"","lasso.std_coefs"
"host_verifications['email', 'phone', 'facebook', 'reviews', 'jumio', 'offline_government_id', 'government_id', 'work_email']",0.536621987110404
"host_verifications['email', 'phone', 'facebook', 'reviews', 'jumio', 'offline_government_id', 'government_id']",0
"host_verifications['email', 'phone', 'facebook', 'reviews', 'jumio', 'offline_government_id', 'kba', 'government_id']",0
"host_verifications['email', 'phone', 'facebook', 'reviews', 'jumio', 'offline_government_id', 'kba', 'selfie', 'government_id', 'identity_manual']",0
"host_verifications['email', 'phone', 'facebook', 'reviews', 'jumio', 'offline_government_id', 'selfie', 'government_id', 'identity_manual', 'work_email']",-0.325788915915747
"host_verifications['email', 'phone', 'facebook', 'reviews', 'jumio', 'offline_government_id', 'selfie', 'government_id', 'identity_manual']",0
"host_verifications['email', 'phone', 'facebook', 'reviews', 'jumio', 'selfie', 'government_id', 'identity_manual']",0
"host_verifications['email', 'phone', 'facebook', 'reviews', 'jumio', 'work_email']",-0.233287439729872
"host_verifications['email', 'phone', 'facebook', 'reviews', 'jumio']",0
"host_verifications['email', 'phone', 'facebook', 'reviews', 'kba', 'work_email']",0.129955692218102
"host_verifications['email', 'phone', 'facebook', 'reviews', 'kba']",0
"host_verifications['email', 'phone', 'facebook', 'reviews', 'manual_offline', 'jumio', 'work_email']",0
"host_verifications['email', 'phone', 'facebook', 'reviews', 'manual_offline', 'jumio']",3.42623824106173
"host_verifications['email', 'phone', 'facebook', 'reviews', 'sesame', 'sesame_offline']",-0.218649748796595
"host_verifications['email', 'phone', 'facebook', 'reviews', 'work_email']",0
"host_verifications['email', 'phone', 'facebook', 'reviews']",1.23120314256071
"host_verifications['email', 'phone', 'facebook', 'selfie']",-1.46903913137422
"host_verifications['email', 'phone', 'facebook', 'work_email']",0
"host_verifications['email', 'phone', 'facebook']",0
"host_verifications['email', 'phone', 'google', 'amex', 'reviews', 'jumio', 'government_id']",0
"host_verifications['email', 'phone', 'google', 'amex', 'reviews', 'kba', 'work_email']",0
"host_verifications['email', 'phone', 'google', 'amex', 'reviews', 'kba']",2.53299020407676
"host_verifications['email', 'phone', 'google', 'amex', 'reviews']",0
"host_verifications['email', 'phone', 'google', 'jumio', 'government_id']",0
"host_verifications['email', 'phone', 'google', 'kba']",0
"host_verifications['email', 'phone', 'google', 'linkedin', 'amex', 'reviews', 'jumio', 'government_id']",0
"host_verifications['email', 'phone', 'google', 'linkedin', 'amex', 'reviews', 'kba']",0
"host_verifications['email', 'phone', 'google', 'linkedin', 'reviews', 'jumio', 'government_id', 'work_email']",0
"host_verifications['email', 'phone', 'google', 'linkedin', 'reviews', 'jumio', 'government_id']",1.01270276025425
"host_verifications['email', 'phone', 'google', 'linkedin', 'reviews', 'jumio', 'kba', 'government_id', 'work_email']",0
"host_verifications['email', 'phone', 'google', 'linkedin', 'reviews', 'jumio', 'offline_government_id', 'government_id']",0
"host_verifications['email', 'phone', 'google', 'linkedin', 'reviews', 'jumio', 'offline_government_id', 'kba', 'selfie', 'government_id', 'identity_manual', 'work_email']",0
"host_verifications['email', 'phone', 'google', 'linkedin', 'reviews', 'jumio', 'work_email']",0
"host_verifications['email', 'phone', 'google', 'linkedin', 'reviews', 'kba', 'work_email']",5.21310779213586
"host_verifications['email', 'phone', 'google', 'linkedin', 'reviews', 'kba']",0
"host_verifications['email', 'phone', 'google', 'linkedin', 'reviews', 'work_email']",0
"host_verifications['email', 'phone', 'google', 'reviews', 'jumio', 'government_id', 'work_email']",0
"host_verifications['email', 'phone', 'google', 'reviews', 'jumio', 'government_id']",-0.301758714949585
"host_verifications['email', 'phone', 'google', 'reviews', 'jumio', 'kba', 'government_id', 'work_email']",-1.42887127684668
"host_verifications['email', 'phone', 'google', 'reviews', 'jumio', 'offline_government_id', 'government_id', 'work_email']",0.679814795843209
"host_verifications['email', 'phone', 'google', 'reviews', 'jumio', 'offline_government_id', 'government_id']",0
"host_verifications['email', 'phone', 'google', 'reviews', 'jumio', 'offline_government_id', 'kba', 'government_id']",0
"host_verifications['email', 'phone', 'google', 'reviews', 'jumio', 'offline_government_id', 'kba', 'selfie', 'government_id', 'identity_manual']",-0.682193295686942
"host_verifications['email', 'phone', 'google', 'reviews', 'jumio', 'offline_government_id', 'selfie', 'government_id', 'identity_manual', 'work_email']",0
"host_verifications['email', 'phone', 'google', 'reviews', 'jumio', 'offline_government_id', 'selfie', 'government_id', 'identity_manual']",0
"host_verifications['email', 'phone', 'google', 'reviews', 'jumio']",0
"host_verifications['email', 'phone', 'google', 'reviews', 'kba', 'work_email']",0
"host_verifications['email', 'phone', 'google', 'reviews', 'kba']",0
"host_verifications['email', 'phone', 'google', 'reviews', 'work_email']",0
"host_verifications['email', 'phone', 'google', 'reviews']",-4.10264349704414
"host_verifications['email', 'phone', 'jumio', 'offline_government_id', 'government_id']",0
"host_verifications['email', 'phone', 'jumio', 'offline_government_id', 'kba', 'selfie', 'government_id', 'identity_manual']",-0.952222957987534
"host_verifications['email', 'phone', 'jumio', 'offline_government_id', 'selfie', 'government_id', 'identity_manual', 'work_email']",0.509400203479639
"host_verifications['email', 'phone', 'jumio', 'offline_government_id', 'selfie', 'government_id', 'identity_manual']",1.34801016498673
"host_verifications['email', 'phone', 'jumio', 'work_email']",13.7210464551161
"host_verifications['email', 'phone', 'jumio']",0.776433331212511
"host_verifications['email', 'phone', 'kba']",1.54174047694363
"host_verifications['email', 'phone', 'linkedin', 'amex', 'reviews', 'jumio', 'government_id']",0
"host_verifications['email', 'phone', 'linkedin', 'amex', 'reviews', 'kba', 'work_email']",0
"host_verifications['email', 'phone', 'linkedin', 'jumio', 'government_id']",0
"host_verifications['email', 'phone', 'linkedin', 'jumio', 'offline_government_id', 'government_id']",0
"host_verifications['email', 'phone', 'linkedin', 'kba', 'work_email']",0
"host_verifications['email', 'phone', 'linkedin', 'kba']",0
"host_verifications['email', 'phone', 'linkedin', 'reviews', 'jumio', 'government_id', 'work_email']",0
"host_verifications['email', 'phone', 'linkedin', 'reviews', 'jumio', 'government_id']",0
"host_verifications['email', 'phone', 'linkedin', 'reviews', 'jumio', 'kba', 'government_id']",0
"host_verifications['email', 'phone', 'linkedin', 'reviews', 'jumio', 'offline_government_id', 'government_id', 'work_email']",0
"host_verifications['email', 'phone', 'linkedin', 'reviews', 'jumio', 'offline_government_id', 'government_id']",0
"host_verifications['email', 'phone', 'linkedin', 'reviews', 'jumio', 'offline_government_id', 'kba', 'selfie', 'government_id', 'identity_manual', 'work_email']",0
"host_verifications['email', 'phone', 'linkedin', 'reviews', 'jumio', 'offline_government_id', 'kba', 'selfie', 'government_id', 'identity_manual']",0
"host_verifications['email', 'phone', 'linkedin', 'reviews', 'jumio', 'offline_government_id', 'selfie', 'government_id', 'identity_manual', 'work_email']",0
"host_verifications['email', 'phone', 'linkedin', 'reviews', 'jumio', 'offline_government_id', 'selfie', 'government_id', 'identity_manual']",-0.29403390915004
"host_verifications['email', 'phone', 'linkedin', 'reviews', 'jumio', 'selfie', 'government_id', 'identity_manual', 'work_email']",-0.140316631712356
"host_verifications['email', 'phone', 'linkedin', 'reviews', 'jumio', 'selfie', 'government_id', 'identity_manual']",0
"host_verifications['email', 'phone', 'linkedin', 'reviews', 'jumio']",-0.159122223700345
"host_verifications['email', 'phone', 'linkedin', 'reviews', 'kba', 'work_email']",0
"host_verifications['email', 'phone', 'linkedin', 'reviews', 'kba']",0
"host_verifications['email', 'phone', 'linkedin', 'reviews', 'weibo', 'jumio', 'offline_government_id', 'selfie', 'government_id', 'identity_manual']",0
"host_verifications['email', 'phone', 'linkedin', 'reviews', 'work_email']",0
"host_verifications['email', 'phone', 'manual_offline', 'jumio']",0
"host_verifications['email', 'phone', 'manual_online', 'facebook', 'reviews', 'manual_offline', 'jumio', 'offline_government_id', 'selfie', 'government_id', 'identity_manual', 'work_email']",0
"host_verifications['email', 'phone', 'manual_online', 'facebook', 'reviews', 'manual_offline', 'jumio']",-0.642441732334082
"host_verifications['email', 'phone', 'manual_online', 'reviews', 'jumio', 'government_id']",0
"host_verifications['email', 'phone', 'manual_online', 'reviews', 'manual_offline', 'jumio', 'kba']",0
"host_verifications['email', 'phone', 'manual_online', 'reviews', 'manual_offline', 'jumio']",-2.36393535793323
"host_verifications['email', 'phone', 'manual_online', 'reviews', 'manual_offline', 'kba']",0
"host_verifications['email', 'phone', 'manual_online', 'reviews', 'manual_offline', 'work_email']",0
"host_verifications['email', 'phone', 'manual_online', 'reviews', 'manual_offline']",0
"host_verifications['email', 'phone', 'manual_online', 'reviews']",0
"host_verifications['email', 'phone', 'reviews', 'government_id']",0
"host_verifications['email', 'phone', 'reviews', 'jumio', 'government_id', 'work_email']",-0.866657442510611
"host_verifications['email', 'phone', 'reviews', 'jumio', 'government_id']",-0.211655065738295
"host_verifications['email', 'phone', 'reviews', 'jumio', 'kba', 'government_id', 'work_email']",0
"host_verifications['email', 'phone', 'reviews', 'jumio', 'kba', 'government_id']",0
"host_verifications['email', 'phone', 'reviews', 'jumio', 'kba', 'selfie', 'government_id', 'identity_manual']",0
"host_verifications['email', 'phone', 'reviews', 'jumio', 'kba', 'work_email']",-2.73991987422665
"host_verifications['email', 'phone', 'reviews', 'jumio', 'kba']",0
"host_verifications['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'government_id', 'work_email']",0
"host_verifications['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'government_id']",-0.761982153890486
"host_verifications['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'kba', 'government_id', 'work_email']",0
"host_verifications['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'kba', 'government_id']",0
"host_verifications['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'kba', 'selfie', 'government_id', 'identity_manual', 'work_email']",0
"host_verifications['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'kba', 'selfie', 'government_id', 'identity_manual']",1.84101255632736
"host_verifications['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'selfie', 'government_id', 'identity_manual', 'work_email']",0
"host_verifications['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'selfie', 'government_id', 'identity_manual']",2.00361321595265
"host_verifications['email', 'phone', 'reviews', 'jumio', 'selfie', 'government_id', 'identity_manual', 'work_email']",0
"host_verifications['email', 'phone', 'reviews', 'jumio', 'selfie', 'government_id', 'identity_manual']",0
"host_verifications['email', 'phone', 'reviews', 'jumio', 'work_email']",-5.47445760261318
"host_verifications['email', 'phone', 'reviews', 'jumio']",0
"host_verifications['email', 'phone', 'reviews', 'kba', 'selfie']",0
"host_verifications['email', 'phone', 'reviews', 'kba', 'work_email']",0.0114747574127484
"host_verifications['email', 'phone', 'reviews', 'kba']",0
"host_verifications['email', 'phone', 'reviews', 'manual_offline', 'jumio', 'kba']",3.10494025143863
"host_verifications['email', 'phone', 'reviews', 'manual_offline', 'jumio', 'work_email']",0
"host_verifications['email', 'phone', 'reviews', 'manual_offline', 'jumio']",0
"host_verifications['email', 'phone', 'reviews', 'manual_offline']",0
"host_verifications['email', 'phone', 'reviews', 'selfie']",0
"host_verifications['email', 'phone', 'reviews', 'sent_id', 'work_email']",0
"host_verifications['email', 'phone', 'reviews', 'sent_id']",0
"host_verifications['email', 'phone', 'reviews', 'sesame', 'sesame_offline']",0
"host_verifications['email', 'phone', 'reviews', 'weibo', 'jumio', 'government_id']",-0.206425084316268
"host_verifications['email', 'phone', 'reviews', 'weibo', 'jumio']",0
"host_verifications['email', 'phone', 'reviews', 'weibo', 'sesame', 'sesame_offline']",-1.72660223631138
"host_verifications['email', 'phone', 'reviews', 'work_email']",-4.30169475826193
"host_verifications['email', 'phone', 'reviews']",8.85654966908311
"host_verifications['email', 'phone', 'weibo']",0
"host_verifications['email', 'phone', 'work_email']",2.07070701989678
"host_verifications['email', 'phone']",3.46708649536376
"host_verifications['email', 'reviews', 'jumio', 'offline_government_id', 'government_id']",-1.75554977263887
"host_verifications['email', 'reviews', 'jumio']",0
"host_verifications['email', 'reviews', 'kba']",-2.53414553887585
"host_verifications['email', 'reviews']",0
"host_verifications['email']",0.0713112452516278
"host_verifications['facebook', 'reviews', 'jumio']",0
"host_verifications['phone', 'facebook', 'google', 'reviews', 'jumio', 'government_id']",0
"host_verifications['phone', 'facebook', 'google', 'reviews']",0
"host_verifications['phone', 'facebook', 'jumio', 'offline_government_id', 'government_id']",0
"host_verifications['phone', 'facebook', 'reviews', 'jumio', 'government_id']",0
"host_verifications['phone', 'facebook', 'reviews']",0
"host_verifications['phone', 'facebook']",0
"host_verifications['phone', 'google', 'linkedin', 'reviews', 'jumio', 'offline_government_id', 'selfie', 'government_id', 'identity_manual']",-6.73950768697901
"host_verifications['phone', 'google']",0
"host_verifications['phone', 'jumio', 'offline_government_id', 'selfie', 'government_id', 'identity_manual']",0
"host_verifications['phone', 'jumio']",-0.43470030547555
"host_verifications['phone', 'kba']",0
"host_verifications['phone', 'reviews', 'jumio', 'government_id']",-1.43360390654327
"host_verifications['phone', 'reviews', 'jumio', 'offline_government_id', 'government_id']",-0.33701647632762
"host_verifications['phone', 'reviews', 'jumio', 'offline_government_id', 'kba', 'selfie', 'government_id', 'identity_manual']",0
"host_verifications['phone', 'reviews', 'jumio', 'offline_government_id', 'selfie', 'government_id', 'identity_manual']",0
"host_verifications['phone', 'reviews', 'jumio']",0
"host_verifications['phone', 'reviews', 'kba', 'work_email']",0.388364591075702
"host_verifications['phone', 'reviews', 'kba']",0
"host_verifications['phone', 'reviews']",0
"host_verifications['phone']",0
"host_verifications['reviews', 'jumio', 'work_email']",0
"host_verifications[]",0
"host_has_profile_pict",0.210473503298822
"host_identity_verifiedt",-0.125214796169262
"neighbourhood_cleansedBack Bay",13.0395390021911
"neighbourhood_cleansedBay Village",4.2270155653247
"neighbourhood_cleansedBeacon Hill",7.20579357105522
"neighbourhood_cleansedBrighton",0
"neighbourhood_cleansedCharlestown",0
"neighbourhood_cleansedChinatown",0
"neighbourhood_cleansedDorchester",-6.34572099647167
"neighbourhood_cleansedDowntown",7.39380701845177
"neighbourhood_cleansedEast Boston",-6.93790680530087
"neighbourhood_cleansedFenway",6.05266834531594
"neighbourhood_cleansedHyde Park",0
"neighbourhood_cleansedJamaica Plain",0
"neighbourhood_cleansedLeather District",0.327054973061684
"neighbourhood_cleansedLongwood Medical Area",0
"neighbourhood_cleansedMattapan",-1.84198695422443
"neighbourhood_cleansedMission Hill",-1.44353677004232
"neighbourhood_cleansedNorth End",-0.563694548138161
"neighbourhood_cleansedRoslindale",-2.91062434189875
"neighbourhood_cleansedRoxbury",-2.53532117577471
"neighbourhood_cleansedSouth Boston",0.556840110703621
"neighbourhood_cleansedSouth Boston Waterfront",0
"neighbourhood_cleansedSouth End",6.86899777877648
"neighbourhood_cleansedWest End",0
"neighbourhood_cleansedWest Roxbury",0
"zipcode02026",0
"zipcode02108",0
"zipcode02108 02111",0
"zipcode02109",1.27699642181836
"zipcode02110",0
"zipcode02111",8.98423322204781
"zipcode02113",0
"zipcode02114",0
"zipcode02115",-0.879025146890803
"zipcode02116",3.8288381025995
"zipcode02118",4.20854565209496
"zipcode02119",0
"zipcode02120",0
"zipcode02121",-0.712408983549617
"zipcode02122",-0.973957261679387
"zipcode02124",0
"zipcode02125",0
"zipcode02126",0
"zipcode02127",0
"zipcode02128",0
"zipcode02129",3.60179041130663
"zipcode02130",0
"zipcode02131",0
"zipcode02132",1.9294110891386
"zipcode02134",-3.36189367870981
"zipcode02134-1704",0
"zipcode02135",-0.0987753055467168
"zipcode02136",-1.03613439840233
"zipcode02138",0.737291676128264
"zipcode02139",0
"zipcode02142",0
"zipcode02143",0
"zipcode02145",0
"zipcode02150",-0.339294650793134
"zipcode02151",0
"zipcode02152",0
"zipcode02163",0
"zipcode02186",0
"zipcode02199",0
"zipcode02210",11.2177501831949
"zipcode02215",9.45519329119643
"zipcode02445",0
"zipcode02446",0
"zipcode02458",0
"zipcode02467",-0.192036194332234
"zipcode02472",0
"latitude",6.70300508176346
"longitude",9.75719813234997
"is_location_exactt",0
"property_typeBed & Breakfast",0
"property_typeBoat",0
"property_typeBoutique hotel",-1.55527427724458
"property_typeCondominium",3.26197893523687
"property_typeDorm",0
"property_typeGuest suite",0
"property_typeGuesthouse",2.23068040079422
"property_typeHostel",-3.96410233689145
"property_typeHouse",0
"property_typeIn-law",0
"property_typeLoft",-1.44898572941191
"property_typeOther",0.593914820766574
"property_typeServiced apartment",0
"property_typeTimeshare",0
"property_typeTownhouse",3.12586441022071
"property_typeVilla",0
"room_typePrivate room",-33.6228841934279
"room_typeShared room",-7.53018332713172
"accommodates",15.0233528854567
"bathrooms",23.8166056651967
"bedrooms",25.564709457579
"beds",0
"bed_typeCouch",0
"bed_typeFuton",-0.650027379250024
"bed_typePull-out Sofa",0
"bed_typeReal Bed",0
"square_feet",1.33789139675479
"security_deposit",2.26459554279548
"cleaning_fee",8.91948980254843
"guests_included",0
"extra_people",0
"minimum_nights",3.71511242255017
"maximum_nights",-0.801455027641909
"availability_30",14.1567590406339
"availability_60",0
"availability_90",0
"availability_365",0.404291252843638
"number_of_reviews",-0.585076418745768
"first_review",-3.14971106747943
"last_review",0
"review_scores_rating",5.76946544224643
"review_scores_accuracy",0
"review_scores_cleanliness",3.78869161791762
"review_scores_checkin",0
"review_scores_communication",0
"review_scores_location",3.77249959828544
"review_scores_value",-2.22768863646168
"instant_bookablet",-3.32409654027339
"is_business_travel_readyt",-3.68983189716461
"cancellation_policymoderate",0
"cancellation_policystrict",0
"cancellation_policysuper_strict_30",0
"cancellation_policysuper_strict_60",4.07959039096662
"require_guest_profile_picturet",0
"require_guest_phone_verificationt",5.12387025671772
"calculated_host_listings_count",-7.03512124713253
"reviews_per_month",-5.57635056057408
